Køn;Datanavn;Kommune;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
"M�nd";"Tilflyttede";"Assens";1202;1119;1016;936;789;902;899;866;978;1084;1046;1075;1097;1092
"M�nd";"Tilflyttede";"Faaborg-Midtfyn";1530;1383;1285;1144;1136;1166;1167;1197;1244;1410;1421;1468;1549;1435
"M�nd";"Tilflyttede";"Kerteminde";688;690;627;579;593;646;623;583;604;609;628;655;642;689
"M�nd";"Tilflyttede";"Langeland";337;313;272;324;293;247;284;249;272;311;323;391;327;361
"M�nd";"Tilflyttede";"Middelfart";994;997;907;806;782;774;796;803;877;859;896;945;1061;1129
"M�nd";"Tilflyttede";"Nordfyns";876;825;741;618;672;623;672;653;714;765;801;809;866;841
"M�nd";"Tilflyttede";"Nyborg";859;789;681;653;661;692;630;678;748;814;827;766;859;834
"M�nd";"Tilflyttede";"Odense";4402;4346;4321;4220;4520;4703;4728;5181;5019;5231;5330;5455;5447;5661
"M�nd";"Tilflyttede";"Svendborg";1569;1565;1400;1267;1221;1310;1344;1327;1401;1574;1598;1598;1612;1520
"M�nd";"Tilflyttede";"�r�";195;208;219;202;201;206;193;224;206;254;209;225;200;217
"M�nd";"Fraflyttede";"Assens";1038;1085;1057;956;971;1033;968;1062;1018;1070;1072;1101;1175;1166
"M�nd";"Fraflyttede";"Faaborg-Midtfyn";1359;1283;1320;1182;1258;1283;1297;1324;1356;1347;1376;1371;1354;1506
"M�nd";"Fraflyttede";"Kerteminde";587;624;588;559;603;615;616;667;647;629;687;635;656;653
"M�nd";"Fraflyttede";"Langeland";340;355;321;282;328;292;347;295;265;325;295;324;331;339
"M�nd";"Fraflyttede";"Middelfart";819;816;800;789;786;809;813;788;851;948;842;888;899;925
"M�nd";"Fraflyttede";"Nordfyns";754;783;728;701;699;720;770;774;747;791;762;829;809;918
"M�nd";"Fraflyttede";"Nyborg";729;743;675;649;741;691;650;757;669;710;794;801;793;798
"M�nd";"Fraflyttede";"Odense";4844;4826;4445;4237;4238;4408;4403;4472;4975;5307;5293;5308;5433;5437
"M�nd";"Fraflyttede";"Svendborg";1503;1517;1361;1388;1462;1394;1467;1473;1379;1520;1480;1545;1584;1557
"M�nd";"Fraflyttede";"�r�";207;198;219;185;171;193;240;234;233;225;237;229;218;205
"Kvinder";"Tilflyttede";"Assens";1198;1156;979;886;849;914;913;845;940;987;1048;1029;1089;1031
"Kvinder";"Tilflyttede";"Faaborg-Midtfyn";1501;1338;1210;1188;1104;1141;1114;1075;1168;1317;1316;1340;1426;1369
"Kvinder";"Tilflyttede";"Kerteminde";703;699;645;574;569;634;629;585;579;634;598;624;619;678
"Kvinder";"Tilflyttede";"Langeland";309;308;280;318;246;253;272;229;253;268;310;357;296;337
"Kvinder";"Tilflyttede";"Middelfart";976;901;861;812;784;759;801;853;874;848;928;893;1021;1134
"Kvinder";"Tilflyttede";"Nordfyns";869;886;697;654;636;619;639;648;651;820;806;785;813;740
"Kvinder";"Tilflyttede";"Nyborg";859;810;687;641;668;702;588;686;785;801;818;704;773;813
"Kvinder";"Tilflyttede";"Odense";4520;4515;4339;4197;4545;4741;4842;5027;4933;5194;5157;5195;5123;5238
"Kvinder";"Tilflyttede";"Svendborg";1411;1457;1238;1137;1204;1173;1136;1163;1185;1342;1321;1315;1369;1350
"Kvinder";"Tilflyttede";"�r�";162;149;151;165;145;183;168;160;159;190;146;213;152;190
"Kvinder";"Fraflyttede";"Assens";1042;1083;1053;969;1029;996;1029;1012;985;1087;1077;1062;1083;1082
"Kvinder";"Fraflyttede";"Faaborg-Midtfyn";1293;1258;1233;1180;1232;1282;1301;1233;1191;1294;1308;1274;1361;1341
"Kvinder";"Fraflyttede";"Kerteminde";571;669;589;539;584;626;606;655;603;673;677;624;616;624
"Kvinder";"Fraflyttede";"Langeland";357;364;327;287;305;303;325;272;263;317;279;301;318;325
"Kvinder";"Fraflyttede";"Middelfart";825;745;768;771;787;852;886;803;836;892;840;881;879;867
"Kvinder";"Fraflyttede";"Nordfyns";740;765;729;665;703;747;712;714;763;736;785;809;747;751
"Kvinder";"Fraflyttede";"Nyborg";756;728;695;665;725;702;648;671;694;730;722;751;778;753
"Kvinder";"Fraflyttede";"Odense";4938;4838;4456;4301;4332;4496;4485;4683;4814;5302;5233;5112;5111;5254
"Kvinder";"Fraflyttede";"Svendborg";1354;1353;1263;1273;1298;1278;1268;1290;1252;1295;1277;1281;1440;1293
"Kvinder";"Fraflyttede";"�r�";187;176;140;165;154;147;188;190;180;186;168;178;182;215
